Input SW: 00000000 | HEX0: 1000000 | HEX1: 1000000
Input SW: 00110011 | HEX0: 0110000 | HEX1: 0110000
Input SW: 00110100 | HEX0: 0011001 | HEX1: 0110000
Input SW: 00110101 | HEX0: 0010010 | HEX1: 0110000
Input SW: 00110110 | HEX0: 0000010 | HEX1: 0110000
Input SW: 00110111 | HEX0: 1111000 | HEX1: 0110000
Input SW: 00111000 | HEX0: 0000000 | HEX1: 0110000
Input SW: 00111001 | HEX0: 0010000 | HEX1: 0110000
Input SW: 00111010 | HEX0: 1111111 | HEX1: 0110000
Input SW: 00111011 | HEX0: 1111111 | HEX1: 0110000
Input SW: 00111100 | HEX0: 1111111 | HEX1: 0110000
Input SW: 00111101 | HEX0: 1111111 | HEX1: 0110000
Input SW: 00111110 | HEX0: 1111111 | HEX1: 0110000
Input SW: 00111111 | HEX0: 1111111 | HEX1: 0110000
Input SW: 01000000 | HEX0: 1000000 | HEX1: 0011001
Input SW: 01000001 | HEX0: 1111001 | HEX1: 0011001
Input SW: 01000010 | HEX0: 0100100 | HEX1: 0011001
Input SW: 01000011 | HEX0: 0110000 | HEX1: 0011001
Input SW: 01000100 | HEX0: 0011001 | HEX1: 0011001
Input SW: 01000101 | HEX0: 0010010 | HEX1: 0011001
Input SW: 01000110 | HEX0: 0000010 | HEX1: 0011001
Input SW: 01000111 | HEX0: 1111000 | HEX1: 0011001
Input SW: 01001000 | HEX0: 0000000 | HEX1: 0011001
Input SW: 01001001 | HEX0: 0010000 | HEX1: 0011001
Input SW: 01001010 | HEX0: 1111111 | HEX1: 0011001
Input SW: 01001011 | HEX0: 1111111 | HEX1: 0011001
Input SW: 01001100 | HEX0: 1111111 | HEX1: 0011001
Input SW: 01001101 | HEX0: 1111111 | HEX1: 0011001
Input SW: 01001110 | HEX0: 1111111 | HEX1: 0011001
Input SW: 01001111 | HEX0: 1111111 | HEX1: 0011001
Input SW: 01010000 | HEX0: 1000000 | HEX1: 0010010
Input SW: 01010001 | HEX0: 1111001 | HEX1: 0010010
Input SW: 01010010 | HEX0: 0100100 | HEX1: 0010010
Input SW: 01010011 | HEX0: 0110000 | HEX1: 0010010
Input SW: 01010100 | HEX0: 0011001 | HEX1: 0010010
Input SW: 01010101 | HEX0: 0010010 | HEX1: 0010010
Input SW: 01010110 | HEX0: 0000010 | HEX1: 0010010
Input SW: 01010111 | HEX0: 1111000 | HEX1: 0010010
Input SW: 01011000 | HEX0: 0000000 | HEX1: 0010010
Input SW: 01011001 | HEX0: 0010000 | HEX1: 0010010
Input SW: 01011010 | HEX0: 1111111 | HEX1: 0010010
Input SW: 01011011 | HEX0: 1111111 | HEX1: 0010010
Input SW: 01011100 | HEX0: 1111111 | HEX1: 0010010
Input SW: 01011101 | HEX0: 1111111 | HEX1: 0010010
Input SW: 01011110 | HEX0: 1111111 | HEX1: 0010010
Input SW: 01011111 | HEX0: 1111111 | HEX1: 0010010
Input SW: 01100000 | HEX0: 1000000 | HEX1: 0000010
Input SW: 01100001 | HEX0: 1111001 | HEX1: 0000010
Input SW: 01100010 | HEX0: 0100100 | HEX1: 0000010
Input SW: 01100011 | HEX0: 0110000 | HEX1: 0000010
Input SW: 01100100 | HEX0: 0011001 | HEX1: 0000010
Input SW: 01100101 | HEX0: 0010010 | HEX1: 0000010
Input SW: 01100110 | HEX0: 0000010 | HEX1: 0000010
Input SW: 01100111 | HEX0: 1111000 | HEX1: 0000010
Input SW: 01101000 | HEX0: 0000000 | HEX1: 0000010
Input SW: 01101001 | HEX0: 0010000 | HEX1: 0000010
Input SW: 01101010 | HEX0: 1111111 | HEX1: 0000010
Input SW: 01101011 | HEX0: 1111111 | HEX1: 0000010
Input SW: 01101100 | HEX0: 1111111 | HEX1: 0000010
Input SW: 01101101 | HEX0: 1111111 | HEX1: 0000010
Input SW: 01101110 | HEX0: 1111111 | HEX1: 0000010
Input SW: 01101111 | HEX0: 1111111 | HEX1: 0000010
Input SW: 01110000 | HEX0: 1000000 | HEX1: 1111000
Input SW: 01110001 | HEX0: 1111001 | HEX1: 1111000
Input SW: 01110010 | HEX0: 0100100 | HEX1: 1111000
Input SW: 01110011 | HEX0: 0110000 | HEX1: 1111000
Input SW: 01110100 | HEX0: 0011001 | HEX1: 1111000
Input SW: 01110101 | HEX0: 0010010 | HEX1: 1111000
Input SW: 01110110 | HEX0: 0000010 | HEX1: 1111000
Input SW: 01110111 | HEX0: 1111000 | HEX1: 1111000
Input SW: 01111000 | HEX0: 0000000 | HEX1: 1111000
Input SW: 01111001 | HEX0: 0010000 | HEX1: 1111000
Input SW: 01111010 | HEX0: 1111111 | HEX1: 1111000
Input SW: 01111011 | HEX0: 1111111 | HEX1: 1111000
Input SW: 01111100 | HEX0: 1111111 | HEX1: 1111000
Input SW: 01111101 | HEX0: 1111111 | HEX1: 1111000
Input SW: 01111110 | HEX0: 1111111 | HEX1: 1111000
Input SW: 01111111 | HEX0: 1111111 | HEX1: 1111000
Input SW: 10000000 | HEX0: 1000000 | HEX1: 0000000
Input SW: 10000001 | HEX0: 1111001 | HEX1: 0000000
Input SW: 10000010 | HEX0: 0100100 | HEX1: 0000000
Input SW: 10000011 | HEX0: 0110000 | HEX1: 0000000
Input SW: 10000100 | HEX0: 0011001 | HEX1: 0000000
Input SW: 10000101 | HEX0: 0010010 | HEX1: 0000000
Input SW: 10000110 | HEX0: 0000010 | HEX1: 0000000
Input SW: 10000111 | HEX0: 1111000 | HEX1: 0000000
Input SW: 10001000 | HEX0: 0000000 | HEX1: 0000000
Input SW: 10001001 | HEX0: 0010000 | HEX1: 0000000
Input SW: 10001010 | HEX0: 1111111 | HEX1: 0000000
Input SW: 10001011 | HEX0: 1111111 | HEX1: 0000000
Input SW: 10001100 | HEX0: 1111111 | HEX1: 0000000
Input SW: 10001101 | HEX0: 1111111 | HEX1: 0000000
Input SW: 10001110 | HEX0: 1111111 | HEX1: 0000000
Input SW: 10001111 | HEX0: 1111111 | HEX1: 0000000
Input SW: 10010000 | HEX0: 1000000 | HEX1: 0010000
Input SW: 10010001 | HEX0: 1111001 | HEX1: 0010000
Input SW: 10010010 | HEX0: 0100100 | HEX1: 0010000
Input SW: 10010011 | HEX0: 0110000 | HEX1: 0010000
Input SW: 10010100 | HEX0: 0011001 | HEX1: 0010000
Input SW: 10010101 | HEX0: 0010010 | HEX1: 0010000
Input SW: 10010110 | HEX0: 0000010 | HEX1: 0010000
Input SW: 10010111 | HEX0: 1111000 | HEX1: 0010000
Input SW: 10011000 | HEX0: 0000000 | HEX1: 0010000
Input SW: 10011001 | HEX0: 0010000 | HEX1: 0010000
Input SW: 10011010 | HEX0: 1111111 | HEX1: 0010000
Input SW: 10011011 | HEX0: 1111111 | HEX1: 0010000
Input SW: 10011100 | HEX0: 1111111 | HEX1: 0010000
Input SW: 10011101 | HEX0: 1111111 | HEX1: 0010000
Input SW: 10011110 | HEX0: 1111111 | HEX1: 0010000
Input SW: 10011111 | HEX0: 1111111 | HEX1: 0010000
Input SW: 10100000 | HEX0: 1000000 | HEX1: 1111111
Input SW: 10100001 | HEX0: 1111001 | HEX1: 1111111
Input SW: 10100010 | HEX0: 0100100 | HEX1: 1111111
Input SW: 10100011 | HEX0: 0110000 | HEX1: 1111111
Input SW: 10100100 | HEX0: 0011001 | HEX1: 1111111
Input SW: 10100101 | HEX0: 0010010 | HEX1: 1111111
Input SW: 10100110 | HEX0: 0000010 | HEX1: 1111111
Input SW: 10100111 | HEX0: 1111000 | HEX1: 1111111
Input SW: 10101000 | HEX0: 0000000 | HEX1: 1111111
Input SW: 10101001 | HEX0: 0010000 | HEX1: 1111111
Input SW: 10101010 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10101011 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10101100 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10101101 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10101110 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10101111 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10110000 | HEX0: 1000000 | HEX1: 1111111
Input SW: 10110001 | HEX0: 1111001 | HEX1: 1111111
Input SW: 10110010 | HEX0: 0100100 | HEX1: 1111111
Input SW: 10110011 | HEX0: 0110000 | HEX1: 1111111
Input SW: 10110100 | HEX0: 0011001 | HEX1: 1111111
Input SW: 10110101 | HEX0: 0010010 | HEX1: 1111111
Input SW: 10110110 | HEX0: 0000010 | HEX1: 1111111
Input SW: 10110111 | HEX0: 1111000 | HEX1: 1111111
Input SW: 10111000 | HEX0: 0000000 | HEX1: 1111111
Input SW: 10111001 | HEX0: 0010000 | HEX1: 1111111
Input SW: 10111010 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10111011 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10111100 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10111101 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10111110 | HEX0: 1111111 | HEX1: 1111111
Input SW: 10111111 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11000000 | HEX0: 1000000 | HEX1: 1111111
Input SW: 11000001 | HEX0: 1111001 | HEX1: 1111111
Input SW: 11000010 | HEX0: 0100100 | HEX1: 1111111
Input SW: 11000011 | HEX0: 0110000 | HEX1: 1111111
Input SW: 11000100 | HEX0: 0011001 | HEX1: 1111111
Input SW: 11000101 | HEX0: 0010010 | HEX1: 1111111
Input SW: 11000110 | HEX0: 0000010 | HEX1: 1111111
Input SW: 11000111 | HEX0: 1111000 | HEX1: 1111111
Input SW: 11001000 | HEX0: 0000000 | HEX1: 1111111
Input SW: 11001001 | HEX0: 0010000 | HEX1: 1111111
Input SW: 11001010 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11001011 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11001100 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11001101 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11001110 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11001111 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11010000 | HEX0: 1000000 | HEX1: 1111111
Input SW: 11010001 | HEX0: 1111001 | HEX1: 1111111
Input SW: 11010010 | HEX0: 0100100 | HEX1: 1111111
Input SW: 11010011 | HEX0: 0110000 | HEX1: 1111111
Input SW: 11010100 | HEX0: 0011001 | HEX1: 1111111
Input SW: 11010101 | HEX0: 0010010 | HEX1: 1111111
Input SW: 11010110 | HEX0: 0000010 | HEX1: 1111111
Input SW: 11010111 | HEX0: 1111000 | HEX1: 1111111
Input SW: 11011000 | HEX0: 0000000 | HEX1: 1111111
Input SW: 11011001 | HEX0: 0010000 | HEX1: 1111111
Input SW: 11011010 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11011011 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11011100 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11011101 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11011110 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11011111 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11100000 | HEX0: 1000000 | HEX1: 1111111
Input SW: 11100001 | HEX0: 1111001 | HEX1: 1111111
Input SW: 11100010 | HEX0: 0100100 | HEX1: 1111111
Input SW: 11100011 | HEX0: 0110000 | HEX1: 1111111
Input SW: 11100100 | HEX0: 0011001 | HEX1: 1111111
Input SW: 11100101 | HEX0: 0010010 | HEX1: 1111111
Input SW: 11100110 | HEX0: 0000010 | HEX1: 1111111
Input SW: 11100111 | HEX0: 1111000 | HEX1: 1111111
Input SW: 11101000 | HEX0: 0000000 | HEX1: 1111111
Input SW: 11101001 | HEX0: 0010000 | HEX1: 1111111
Input SW: 11101010 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11101011 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11101100 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11101101 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11101110 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11101111 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11110000 | HEX0: 1000000 | HEX1: 1111111
Input SW: 11110001 | HEX0: 1111001 | HEX1: 1111111
Input SW: 11110010 | HEX0: 0100100 | HEX1: 1111111
Input SW: 11110011 | HEX0: 0110000 | HEX1: 1111111
Input SW: 11110100 | HEX0: 0011001 | HEX1: 1111111
Input SW: 11110101 | HEX0: 0010010 | HEX1: 1111111
Input SW: 11110110 | HEX0: 0000010 | HEX1: 1111111
Input SW: 11110111 | HEX0: 1111000 | HEX1: 1111111
Input SW: 11111000 | HEX0: 0000000 | HEX1: 1111111
Input SW: 11111001 | HEX0: 0010000 | HEX1: 1111111
Input SW: 11111010 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11111011 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11111100 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11111101 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11111110 | HEX0: 1111111 | HEX1: 1111111
Input SW: 11111111 | HEX0: 1111111 | HEX1: 1111111
